elevation_deg,v_rel_kmps,modulation,n_nodes,PER_pct,RSSI_dBm,SNR_dB,distance_km,kappa,doppler_hz,visibility_window_s,toa_s,max_packets_in_window,n_mc_draws,source
5,4.0,SF11,150000,100.0,-128.9649,-11.9568,2740.65,1.24,11573.33,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,4.0,SF12,1000,100.0,-128.9838,-11.9757,2740.65,1.24,11573.33,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,4.0,SF12,10000,100.0,-128.97,-11.9619,2740.65,1.24,11573.33,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,4.0,SF12,50000,100.0,-129.0299,-12.0217,2740.65,1.24,11573.33,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,4.0,SF12,100000,100.0,-128.6662,-11.6581,2740.65,1.24,11573.33,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,4.0,SF12,150000,100.0,-129.0369,-12.0288,2740.65,1.24,11573.33,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,4.0,DR8,1000,0.0001,-129.2591,11.8339,2740.65,1.24,11573.33,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,4.0,DR8,10000,0.1916,-128.6804,12.4126,2740.65,1.24,11573.33,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,4.0,DR8,50000,13.9463,-128.9948,12.0983,2740.65,1.24,11573.33,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,4.0,DR8,100000,53.4449,-128.8763,12.2167,2740.65,1.24,11573.33,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,4.0,DR8,150000,82.7428,-129.1719,11.9212,2740.65,1.24,11573.33,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,4.0,DR9,1000,0.1024,-128.9362,12.1569,2740.65,1.24,11573.33,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,4.0,DR9,10000,1.2224,-129.0299,12.0631,2740.65,1.24,11573.33,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,4.0,DR9,50000,21.4406,-128.9344,12.1586,2740.65,1.24,11573.33,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,4.0,DR9,100000,53.5892,-128.9413,12.1517,2740.65,1.24,11573.33,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,4.0,DR9,150000,76.0514,-128.9682,12.1248,2740.65,1.24,11573.33,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,7.8,SF7,1000,100.0,-128.7952,-11.7871,2740.65,1.24,22568.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,7.8,SF7,10000,100.0,-128.953,-11.9448,2740.65,1.24,22568.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,7.8,SF7,50000,100.0,-128.8424,-11.8342,2740.65,1.24,22568.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,7.8,SF7,100000,100.0,-128.7961,-11.7879,2740.65,1.24,22568.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,7.8,SF7,150000,100.0,-128.8955,-11.8874,2740.65,1.24,22568.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,7.8,SF8,1000,100.0,-128.8755,-11.8674,2740.65,1.24,22568.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,7.8,SF8,10000,100.0,-128.9772,-11.9691,2740.65,1.24,22568.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,7.8,SF8,50000,100.0,-129.2084,-12.2003,2740.65,1.24,22568.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,7.8,SF8,100000,100.0,-128.7763,-11.7682,2740.65,1.24,22568.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,7.8,SF8,150000,100.0,-128.9349,-11.9268,2740.65,1.24,22568.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,7.8,SF9,1000,100.0,-128.9983,-11.9902,2740.65,1.24,22568.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,7.8,SF9,10000,100.0,-129.1204,-12.1123,2740.65,1.24,22568.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,7.8,SF9,50000,100.0,-129.098,-12.0899,2740.65,1.24,22568.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,7.8,SF9,100000,100.0,-128.6463,-11.6382,2740.65,1.24,22568.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,7.8,SF9,150000,100.0,-129.0288,-12.0207,2740.65,1.24,22568.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,7.8,SF10,1000,100.0,-128.8941,-11.886,2740.65,1.24,22568.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,7.8,SF10,10000,100.0,-129.0185,-12.0103,2740.65,1.24,22568.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,7.8,SF10,50000,100.0,-129.0059,-11.9978,2740.65,1.24,22568.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,7.8,SF10,100000,100.0,-129.1605,-12.1524,2740.65,1.24,22568.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,7.8,SF10,150000,100.0,-128.824,-11.8159,2740.65,1.24,22568.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,7.8,SF11,1000,100.0,-128.5642,-11.5561,2740.65,1.24,22568.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,7.8,SF11,10000,100.0,-128.7926,-11.7845,2740.65,1.24,22568.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,7.8,SF11,50000,100.0,-128.7853,-11.7771,2740.65,1.24,22568.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,7.8,SF11,100000,100.0,-128.9352,-11.9271,2740.65,1.24,22568.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,7.8,SF11,150000,100.0,-129.1507,-12.1426,2740.65,1.24,22568.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,7.8,SF12,1000,100.0,-128.9196,-11.9115,2740.65,1.24,22568.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,7.8,SF12,10000,100.0,-128.7749,-11.7668,2740.65,1.24,22568.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,7.8,SF12,50000,100.0,-128.8931,-11.885,2740.65,1.24,22568.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,7.8,SF12,100000,100.0,-128.9213,-11.9132,2740.65,1.24,22568.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
