elevation_deg,v_rel_kmps,n_nodes,modulation,PER_pct,distance_km,kappa,doppler_hz,doppler_rate_hz,visibility_window_s,RSSI_dBm,SNR_dB,toa_s,max_packets_in_window
5,5.5,100000,SF12,99.61904761904762,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-133.2281635453449,-16.197263675425464,0.991232,426
5,5.5,100000,SF7,97.91271347248576,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-132.73209688570654,-15.701197015787104,0.041216,10239
5,5.5,100000,SF8,92.29357798165138,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-132.1711933819318,-15.14029351201236,0.072192,5846
5,5.5,100000,SF9,86.32478632478633,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-133.598080899542,-16.567181029622578,0.144384,2923
5,6.0,10000,DR8,0.7407407407407418,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-131.70071794383637,9.415083836136532,1.324766,359
5,6.0,10000,DR9,0.0,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-133.75700372701144,7.358798052961445,0.779094,610
5,6.0,10000,SF10,54.629629629629626,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-133.1935232214513,-16.162623351531856,0.288768,1646
5,6.0,10000,SF11,53.703703703703695,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-133.36286365681218,-16.331963786892757,0.577536,823
5,6.0,10000,SF12,54.6218487394958,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-133.23896934238326,-16.208069472463812,0.991232,479
5,6.0,10000,SF7,97.43589743589745,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-131.74325080720553,-14.71235093728608,0.041216,11531
5,6.0,10000,SF8,88.13559322033898,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-131.18235747940344,-14.151457609484003,0.072192,6583
5,6.0,10000,SF9,72.16494845360825,2053.0902641726634,1.24,20206.824372197087,5.388255914052327,475.2486862638331,-131.24841682207318,-14.217516952153728,0.144384,3292
5,6.0,50000,DR8,0.0,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-133.52166032754857,7.594141452424332,1.324766,358
5,6.0,50000,DR9,2.777777777777779,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-133.1112945401666,8.004507239806287,0.779094,609
5,6.0,50000,SF10,76.25231910946196,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-132.98020331478776,-15.94930344486831,0.288768,1643
5,6.0,50000,SF11,89.8936170212766,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-132.9141024821717,-15.883202612252273,0.577536,821
5,6.0,50000,SF12,97.77777777777776,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-133.05464201020214,-16.023742140282703,0.991232,479
5,6.0,50000,SF7,98.16176470588236,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-132.0754828883717,-15.044583018452276,0.041216,11510
5,6.0,50000,SF8,90.9252669039146,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-132.57121632548265,-15.540316455563223,0.072192,6572
5,6.0,50000,SF9,79.52468007312615,2053.330440021225,1.24,20204.7744471482,5.420416978097731,474.4097387243517,-132.09720091037747,-15.066301040458024,0.144384,3286
5,6.0,100000,DR8,1.3850415512465353,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-133.1093619496342,8.00643983033867,1.324766,359
5,6.0,100000,DR9,7.284172661870503,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-133.1612746975964,7.954527082376476,0.779094,610
5,6.0,100000,SF10,91.28014842300556,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-132.48888476568223,-15.457984895762792,0.288768,1645
5,6.0,100000,SF11,98.60594795539032,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-133.12825421279032,-16.097354342870894,0.577536,823
